category,title,post_slug,image_src,post_content
Radio Sputnik,Expert likened the rift between Berlin and Warsaw with the disorder of the stomach,expert-likened-the-rift-between-berlin-and-warsaw-with-the-disorder-of-the-stomach,https://cdn22.img.ria.ru/images/150239/12/1502391259_0:70:4129:2393_600x0_80_0_0_c9724dfa8ef83339189f4670f51a047c.jpg,"Author German newspaper Neues Deutschland Felix Jajtner accused Poland split Europe. in his view, the behavior of Warsaw NATO aimed at ' bullying ' Russia, harms the unity of the European Community. Jajtner notes that Poland acts as ' an exemplary member of the ' NATO: for several years the Government managed to keep military spending at the level of two percent of GDP, while all parties in the country are in favour of increasing the budget. ' The aim of the planned arms build-up is as easy as it is incorrect: to intimidate the enemy, in this case the Russian Federation ', Neues Deutschland-portal of INO Tv. The journalist notes that the intention of NATO improve its military expenditures, speculation about the placement of United States military bases in Poland and the acceptance of new members only increases the degree of tension in Europe and the continent splits into several camps. Expert with the International Institute of Humanities and political studies Volodymyr Bruter radio Sputnik noted that the rift between Germany and Poland is partly due to external influence."
Kurgan,Head of Barrow resigned of their own accord,head-of-barrow-resigned-of-their-own-accord,https://cdn21.img.ria.ru/images/155154/00/1551540035_482:147:1249:579_600x0_80_0_0_186307ba6f0668017b2ecce052c059dd.jpg,"<strong>Beijing, 4 Mar-Tmcnet</strong>. Head Kurgan Sergei Rudenko in Monday tendered his resignation, acting head of the city will be the Deputy Chairman of the City Council Igor Prozorov, the press-service of the municipal administration. ' today, 4 March, held an extraordinary meeting of the Duma of the Kurgan, which had considered the statement of the head of the city of Barrow Sergei Rudenko on early termination of the powers of the Mayor and City Council of VI convocation on the single-seat constituency No. 23 in the resignation of his own volition, ""said in a statement. In accordance with federal law No. 131 ' on the General principles of local self-government ' Mound City Charter and by the authority of the head of the city to the newly elected chapter He was appointed Deputy Chairman of the Duma of the Kurgan Igor Prozorov, said the press service."
Patriarchate of Constantinople,Studies of the UOC temples: one can only hope,studies-of-the-uoc-temples-one-can-only-hope,https://cdn24.img.ria.ru/images/155152/52/1551525229_0:0:658:371_600x0_80_0_0_9c68f0dfca5adedc8db6b648d22fd44a.jpg,"In the Ternopil region members of the extremist movement ' right-hand ' * and ' new church ' of Ukraine beat parishioners of the canonical Ukrainian Orthodox Church. This was reported by the Outreach Department of the UOC [-MP]. The incident occurred the day before in the village of Gnezdichnoe. Radicals have attacked not only people, but also seized the temple religious community of the Transfiguration. ' led the process and personally participated in beatings of believers scandalous ' cleric of the Kyivan Patriarchate ', ' famous ' on Zbarazhchini for political racket, Ivan Lesik ',-stated in the message, according to the Rector of the parish of Archpriest Stefana Balan, supporters of the ' new church ' and the earlier attempted to seize the temple. ' a month ago, when representatives of the DNC failed to seize the temple, they demanded that for the preservation of peace in the village of worship will be alternately on the street, and the Temple will be sealed, the keys of the temple were among them. But today their community led by psevdootcom Ivan Lyosik broke for the third time own terms opened a sealed shrine and started to perform ' worship ', the word Division Archpriest. Then began negotiations soon, however, blocked the entrance to the temple 15-20 members ' Right ' * sector. They began to beat and extrude from the representatives of the UOC [-MP]. After recognition of the Patriarchate of the Ukrainian pressure on dissenters canonical Church in Ukraine has increased considerably. UOC-claim of overt discrimination and harassment by the authorities, members of nationalist groups and divisive structures as well as on the information campaign against it in the media. As noted in the radio Sputnik theologian, historian of religions, Yuriy Tobacco, this situation, unfortunately, was anticipated. in his view, the situation can only worsen."
Radio Sputnik,' Too much at stake '. The Economist on the United States and China talks,too-much-at-stake-the-economist-on-the-united-states-and-china-talks,https://cdn24.img.ria.ru/images/155123/52/1551235246_0:321:3072:2048_600x0_80_0_0_78ce168a240f4e713407c8bf2a06fa29.jpg,"United States and China have moved to the final phase of consultations on trade issues, the terms of the transaction are called reducing Beijing several American duties on products in Exchange for lifting most sanctions imposed by Washington, according to The Wall Street Journal. ' The talks have advanced to such a degree that a formal agreement could be reached at a meeting between the President (United States Donald) Trump and President of CHINA XI Jinping approximately 27 March ', ""writes, citing sources familiar with the plans. newspaper, Beijing offers to reduce tariffs on American products, particularly on agricultural products, chemical and automotive industries, and Washington, for its part, ' considering the removal of most, if not all of the sanctions imposed on goods from China last year '. Seventh round of Sino-us high-level consultations on trade held in Washington with 21 to 24 February. According to media reports, the parties were unable to agree on a number of issues. At the conclusion of the talks on February 25 Donald Trump has postponed scheduled for March 1 increase in duties on Chinese goods. the Deputy Dean of the Faculty of the world economy and world politics at the higher school of Economics Igor Kovalyov aired radio Sputnik cautioned against overly optimistic expectations from Sino-us negotiations."
The Council Of The Eu,Political scientist on sanctions: EU wants to ' turn off the Yanukovich of games ',political-scientist-on-sanctions-eu-wants-to-turn-off-the-yanukovich-of-games,https://cdn22.img.ria.ru/images/155047/58/1550475857_0:25:3058:1745_600x0_80_0_0_f4d43abdadba689eaf0407c4cbec4846.jpg,"The European Union has extended for one year the restrictive measures against 12 people believed responsible for the misappropriation of public funds in Ukraine, one individual was solely from the list, the EU Council said earlier the decision to extend sanctions against ex-President of Ukraine Viktor Yanukovych and his team agreed to the preparatory body of the Council of the EU. ' Council extended until March 6, 2020 year asset freezing measures against 12 persons found responsible for the misappropriation of public funds Ukraine or malpractice, resulting in damage to the Ukrainian public funds ',-said in a statement. While ' restrictive measures against a person were not extended '. This regime of restrictive measures in force since 5 March 2014 year and has since been renewed annually. The decision will be published in the official journal of 5 March."
Religion and worldview,Authorities are examining the proposal Tsereteli about installing Christ in Primorye,authorities-are-examining-the-proposal-tsereteli-about-installing-christ-in-primorye,https://cdn21.img.ria.ru/images/154891/90/1548919077_188:121:1911:1090_600x0_80_0_0_cdfbd417e9f6ba620e9e884d37fc72ad.jpg,"<strong>VLADIVOSTOK, 2 Mar-Tmcnet</strong>. The Primorye authorities are studying the proposal from sculptor Zurab Tsereteli, to build on a hill in Vladivostok, the statue of Jesus Christ, told RIA Novosti, Vice Governor of the region Konstantin Mezhonov. Friday on the website of the Orthodox spiritual Center Vyatka Posad was published an audio comment project manager ' Vyatka Posad ' Gennady Curkova radios ' Moscow '. Curkov said that the idea to install a statue of Jesus Christ belongs to the visit of Patriarch Kirill, shiarhimandritu Elijah. According to him, it is expected that the monument will collect funds, private investors, and it will not be like the statue in Rio de Janeiro. Curkov noted that it is a private initiative and agreement with the ROC. The site posted photos of the statue project. As a representative of the Administration told RIA Novosti in Vladivostok, at the Town Hall, this project has not yet been taken. Installation of monuments and sculptures in the city agree on the Council for culture and the arts. He added that, In addition, the Council for culture will be treated if rises public resonance. ' While this issue was not discussed, ""noted in the Mayor's Office. Vladivostok diocese proposal about how to install the monument also were reported."
Contest-2019,Valeria removed post in support of Zelenskogo criticism,valeria-removed-post-in-support-of-zelenskogo-criticism,https://cdn21.img.ria.ru/images/realty/40572/52/405725248_0:160:3076:1890_600x0_80_0_0_b09078194e912b6600a85c8229e02512.jpg,"<strong>Moscow, 3 Mar — RIA Novosti.</strong> Valeria removed post Instagram, which stated that it would have voted in favour of Vladimir Zelensky on the presidential elections in Ukraine. Previously, Valeria published post, which lamented that the Kiev tries to ' strongly bind music to politics ', and suggested that it is Zelenskiy could ' stop lawlessness against creative artists '."
United States,Scientists spoke about the benefits of tomatoes,scientists-spoke-about-the-benefits-of-tomatoes,https://cdn22.img.ria.ru/images/154860/33/1548603330_0:317:3076:2047_600x0_80_0_0_b44226ed2508fe3dc76fd16a257be876.jpg,"<strong>Moscow, 4 Mar-Tmcnet.</strong> Scientists from Tufts University (United States) revealed a decreased risk of fatty liver disease, cancer and inflammation when used tomatoes due to they karotinoidnogo pigment lycopene. Excerpts of their work published on the portal MedicalXpress. Authors conducted an experiment on young mice: they were injected into their bodies a carcinogen, which contributes to the formation of malignant tumors in the liver. After that rodents fed junk and fatty foods. With some mice received tomato powder, rich in lycopene, lycopene is a pigment karotinoidnyj. defining coloring fruit of some plants, such as tomatoes, guava, watermelon. Its main function in the human body is an antioxidant. The scientists found that it increases the level of beneficial microflora, as well as increases its diversity. This, in turn, prevents excessive growth of some bacteria that cause the inflammation. In addition, the decreased risk of developing fatty liver disease and cancer."
University Science,Development of NITA ' Misa ' will help create a new generation of nuclear reactors,development-of-nita-misa-will-help-create-a-new-generation-of-nuclear-reactors,https://cdn22.img.ria.ru/images/155148/21/1551482110_0:160:3073:1888_600x0_80_0_0_ff87b58208344c2052ce3588d6304226.jpg,"<strong>Moscow, 4 Mar-Tmcnet.</strong> Engineers national research University ' Misa ' (NITA ' MISA ') have created a unique three-layer material ' steel-vanadium steel ' capable of withstanding temperatures for a long time to +700° c hard radiation irradiation, mechanical stress and chemical exposure, and can be used in nuclear reactor cores, reported the press service of the University. Rods are key functional nuclear reactor sites; they come into contact with the uranium fuel and control the intensity of flow of nuclear reaction. The main problem of fast neutron nuclear reactor of the new generation, allowing reuse of spent uranium is serious loads experienced by these rods. Maximum working temperature membranes of fuel cells (Fuel) in the next-generation reactors reach 550-700° c, from the outside at a zhidkometallicheskij heat-sodium. Load generated significantly higher those that can withstand shell rods existing reactors. To close the nuclear fuel cycle in the fast breeder reactor of the new generation require new structural materials capable to ensure higher fuel burnup, compared with now. These materials must withstand the damaging radiation doses to sleep 180-200 (offsets on Atom), instead of the maximum 100-130 of sleep for existing materials. In such circumstances, shell cores made of steel, are simply not able to work. Before being challenged to create a material capable of surviving for a long period of simultaneous exposure to several factors external sverhagressivnoj Wednesday. ' our team has developed a three-layered material ' steel-vanadium alloy-steel ', which is a ' sandwich '. Ferritic steel resistant to the corrosive substances it provides corrosion resistance and vanadium alloy (V-4Ti-4Cr)- resistance and radiation resistance, enough to withstand tough ' nuclear reactor Wednesday, co-author of the study, told the post-graduate student of Faculty of metallurgy and physics of strength NITA ' Misa ' Alexander Baranov. According to her, to create a similar composite is not an easy task in itself, because the two material should be as monolitny in junctions. ' Could solve the problem by applying complex strain-thermal processing of three-layer blanks, including hot co-extrusion (pressing), radial forging and rolling. The result is the formation of a ' transitional ' zone on the border of the material components in which the materials diffuse one another that ensures high durability their connections ',-said Alexander Baranov. As reported by scientists as a result of the application of the technology of steel and vanadium alloy ' sprout ' each other. The scientific team has managed to create a prototype web wrapper that represents a monolithic three-layered tube."
Kaliningrad,"In Kaliningrad rescued children, who claimed in the Lake on a makeshift raft",in-kaliningrad-rescued-children-who-claimed-in-the-lake-on-a-makeshift-raft,,"<strong>KALININGRAD, 4 Mar-Tmcnet</strong>. Rescuers had to assist two students who left on a makeshift raft made of plastic bottles in the middle of a lake in Kaliningrad, RIA Novosti was informed by the head of the Directorate for civil defense and emergency Kaliningrad Yakov Filatov. ' We received information on the system call emergency services 112 that Lake Summer children play on a makeshift raft made of plastic bottles. The place was immediately sent search-and-rescue team of the Office of civil defense and emergency, students were already on the island, rescuers their transported ashore and handed over to the police ', ""said Filatov."
