category,title,post_slug,image_src,post_content
Pavel Grudinin,CPRF duos mp mandato Grudininu Alferova,cprf-duos-mp-mandato-grudininu-alferova,https://cdn22.img.ria.ru/images/151669/06/1516690633_0:0:2881:1622_600x0_80_0_0_41dfe219366a2c9cf4f2276b388294c1.jpg,"<strong>Maskva, 14 Mar-Tmcnet.</strong> Valstybės Dūmos, kuri priklausė Zhoresu praeiti Alferova buvęs kandidatas į prezidentus, Pavel Grudininu, KOMUNISTŲ partijos lyderis Genadijus Zyuganov pavaduotojo įgaliojimai. Jis pabrėžė, kad tokie KOMUNISTŲ partijos centro komiteto sprendimas, Prezidiumas priėmė vienbalsiai. ""Manau, kad Zhores Ivanovičius Alferov buvo ne tik jo pavaduotoją, jis buvo visuomenės veikėjas, daug mokslininkų, žodis, kuris girdimas ne tik mūsų šalyje, bet ir visame pasaulyje"", sakė vadovas šalis. Nobelio premijos laureatas ir Zhores Alferov KOMUNISTŲ partijos frakcijos narys mirė kovo 1 89. Vice pirmininkas į valstybės Dūmą nuo CPRF Ivan Melnikov žurnalistams, kad klausimas dėl galimo įstojimo į komunistų partijos Grudinina nebuvo diskutuota. jis atkreipė dėmesį, kad Alferov, pats buvo KOMUNISTŲ partijos frakcija, o ne per šalis narė. Zyuganov, savo ruožtu, sakė RIA Novosti, kad įrašas Grudinina šalies yra savo asmeninį klausimą. ""jis atlieka savo funkciją, padeda spręsti problemas, jis turėjo didelę komercinę gamybą, ji atlieka socialines programas, kad bet pavydas, ""sakė Zyuganov. Cec sekretorius Maya Grishina sakė RIA Novosti kad EBK laikys vieną kartą įgaliojime dokumentų perdavimo iš komunistų partijos."
Sergejus Lavrovas,"Lavrovas pareiškė nepriimtinumu grindžiamą prieštaravimą iš Krymo gyventojų ""vizų diskriminacija""",lavrovas-pareiske-nepriimtinumu-grindziama-priestaravima-is-krymo-gyventoju-vizu-diskriminacija,https://cdn21.img.ria.ru/images/155172/64/1551726419_0:186:3241:2009_600x0_80_0_0_b992a932a63f10a86192ccd128dd93ed.jpg,"<strong>Maskva, 14 Mar-Tmcnet</strong>. Rusijos užsienio reikalų ministru Sergei Lavrov sakė susitikime su Europos Komisijos nario už migraciją, vidaus reikalus ir pilietiškumą Demetris Avramopulosom atkreipė dėmesį į neleistiną tęsti ES vizų diskriminacijos """" Krymo gyventojams ir Sevastopolis, Rusija Lavrov susitikimas su mus Avramopulosom vyko ketvirtadienį apie 62 ND posėdžio metu JT Komisijos dėl narkotinių medžiagų iš vienos. ""susitikimo metu buvo aptarti aktualius klausimus, bendradarbiavimo tarp Rusijos Federacijos ir Europos Sąjungos laisvės, saugumo ir teisingumo srityje ""Rusijos užsienio reikalų ministerija sakė pareiškimą iš Rusijos pusės tai buvo pabrėžiama, kad atstatymą visapusiškai dalyvauti teisės vykdymo trasoje galėtų svariai prisidėti prie gerinimas, santykių tarp Maskvos ir Briuselio ""ministras atkreipė dėmesį pašnekovas kad tęsimo ES vizų diskriminacijos"" ""gyventojų ir Sevastopolio aneksijos, taip pat į svarbu sudaryti sąlygas saugiai grįžti Sirijos pabėgėlių, ""pabrėžė ministerijos."
Radijo Sputnik,"""Tautos tėvu"", ""surinkėjas"" žemių. Politologas apie p. Porošenko misija Donbass",tautos-tevu-surinkejas-zemiu-politologas-apie-p-porosenko-misija-donbass,https://cdn23.img.ria.ru/images/151971/48/1519714810_0:106:858:589_600x0_80_0_0_c3d40e72efd2bc60e5a1c4da9c5ec183.jpg,"Ukrainos Petro Porošenko prezidentas sakė, kad ketvirtadienį bus siunčiama ribų Donbas eilutės ""šiandien... Skrendu į priekį apsilankyti mūsų savanoriai "", p. Porošenko teigė metu kalbos Kijeve proga savanorio vasario pabaigoje p. Porošenko sakė, kad kariūnai, su Donbass regiono bent 496 tankai, pasak jo, daugiau kaip Vokietija, Prancūzija, Ispanija arba Italija. Pasak jo, Ukraina slopina šį efektą. ""Ukrainoje iš esmės tapo Rytų šono NATO saugoti transatlantinę laisvės ir demokratijos"", ""pridūrė pirmininkas Ukraina. gydytojas politikos mokslų profesorius Ramiojo vandenyno valstybės Jarulin Ildus universiteto radijo Sputnik komentavo Ukrainos lyderis pareiškimus. Šiuo metu jis mano, p. Porošenko yra pasirengusi pažadas kažką. Ukrainos valdžios institucijos balandžio 2014 metų pradėjo karinę operaciją prieš Pasivadinusi Lietuvos notarų rūmai ir DNI, kurios paskelbė nepriklausomybę po perversmo Ukrainoje vasario 2014 metų. Dėl Jungtinės Tautos praneša, konflikto aukomis tapo daugiau 10 tūkstančių žmonių."
Radijo Sputnik,"Politologas: Švedija daugiau ""nutolimas' link Russophobia",politologas-svedija-daugiau-nutolimas-link-russophobia,https://cdn23.img.ria.ru/images/154842/44/1548424439_0:0:3072:1728_600x0_80_0_0_258dee126777122596d8e458cbea3cae.jpg,"Švedijos saugumo policija (SEPO) metinėje ataskaitoje vadinamas Rusija ir Kinija yra vieni pagrindinių veiksnių, kurie kelia grėsmę saugumui, Švedija ""Rusija ir toliau naudoti karinius ir ne karinius jėga kaip užsienio politikos priemones ir priemonių – saugos politikos, pvz., galimybę daryti įtaką ir cyberespionage. Reikia didelio dėmesio "","" sakė dokumento. skyriaus SEPO Klas Friberg per ataskaitą, pažymėjo, kad pagal Švedijos policija, pastaraisiais metais ""pirmiausia Rusija sukūrė savo gebėjimą aktyviai ir slaptai įtakos kitų narių"". Be to, ataskaitoje pažymėjo didėjančią Kinijos įtaką. ""Padidėjusios grėsmės iš Kinijos, naudojama kibernetinis išpuolis ir įmonių perėmimo kaip priemonė gauti ekonominio poveikio"",-pareiškė, kad SEPO dokumente."
Lipetsk,Lipetsk meras pateikė savo atsistatydinimą,lipetsk-meras-pateike-savo-atsistatydinima,https://cdn22.img.ria.ru/images/155179/43/1551794345_0:468:2810:2048_600x0_80_0_0_408d90ea005e1524b1fef3faf45dd436.jpg,"<strong>VORONEZH, 14 Mar-Tmcnet.</strong> Lipetsk Sergejus Ivanovas administracijos vadovas pateikė savo atsistatydinimo, pranešė miesto administracija. administracija įtraukė su 18 kovo 29 d., Ivanovas atostogauti. Pirmoji Vice meras Mihail Scherbakov vykdyti savo pareigas."
Pavel Grudinin,CPRF duos Grudininu įgaliojimų įstatymų,cprf-duos-grudininu-igaliojimu-istatymu,https://cdn22.img.ria.ru/images/151676/41/1516764150_0:160:3072:1888_600x0_80_0_0_3f73577884e5b01e89720cdaed771701.jpg,"<strong>Maskva, 14 Mar-Tmcnet.</strong> Prezidiumas nusprendė KOMUNISTŲ partijos centro komiteto duoti mp mandato Zhores Alfyorov, buvęs kandidatas į pirmininkus, Pavel Grudininu, sakė RIA Novosti partijos lyderis Genadijus Zyuganov, komunistai, vadovas sakė, kad sprendimas buvo priimtas vienbalsiai, parengs dokumentus ir bus siunčiamas EBK."
Verslo savaitė-2019,"Putinas nurodė, kad susidoroti su nebeaktualių srities ekologijos",putinas-nurode-kad-susidoroti-su-nebeaktualiu-srities-ekologijos,https://cdn22.img.ria.ru/images/155179/37/1551793764_0:24:3145:1793_600x0_80_0_0_7ff58c1fec9a40088d0f0a98d540fbc6.jpg,"<strong>Maskva, 14 Mar-Tmcnet.</strong> Rusijos Prezidentas Vladimiras Putinas per Strategines kongresas pavedė Vyriausybei spręsti nebeaktualių srities ekologijos, kad įmonės gali gauti leidimus įvežti iš geriausių dauguma prieinamą technologijas. prezidentas, Strategines Aleksandras SHOKHIN metu konvencija pažymėjo, kad nemažai įmonių iki 2022 metų turėtų gauti integruoto aplinkosaugos leidimai geriausias labiausiai prieinamas technologijas. Iki metų 2021 m., t. y. už dar dvejus metus, senas reguliavimo sistema veiks kaip ""skaičių"" turėtų ""nutraukė visų nereikalinga"" iki 2021 m. sausio 1 metus. Rezultatas yra maišymo skirtingus reikalavimus gauti šiuos leidimus ir senų ir naujų, sakė Shokhin."
"""Visuomenės nuomonė""","Apie 90 %, vciom: Krymo gyventojai palankiai Putino darbo",apie-90-vciom-krymo-gyventojai-palankiai-putino-darbo,https://cdn23.img.ria.ru/images/155112/60/1551126006_0:169:3072:1897_600x0_80_0_0_41f8a079b18f9188d0f847c7849e0e0e.jpg,"<strong>SIMFEROPOLIO, 14 Mar-Tmcnet.</strong> 90 % Krymo gyventojų palankiai į prezidento pirmininkas Rusija Vladimir Putin, gerokai didesnis (64 %), sakė per spaudos konferenciją Simferopolis, VTSIOM generalinis direktorius Valery Fiodorovo. darbą, kad ""prezidentas įvertinimas Vladimiras Putinas daug didesni rodikliai visoje Rusijoje: pasveikino savo darbą 90 tik neigiamas 3 %, o tarp visų rusai tvirtinti jo darbo 64 %, nepatvirtinti, - 27 proc. respondentų ""-buvo mokslinių tyrimų Fiodorovo."
Religija ir pasaulėžiūra,V. Putino asmeninis lėšų nustatyti centrinės piktogramą pagrindinės šventyklos RF GINKLUOTŲJŲ pajėgų,v-putino-asmeninis-lesu-nustatyti-centrines-piktograma-pagrindines-sventyklos-rf-ginkluotuju-pajegu,https://cdn22.img.ria.ru/images/152893/26/1528932634_0:0:3071:1728_600x0_80_0_0_5906b735f19639238feee9679e2b2926.jpg,"<strong>Maskva, 13 Mar-Tmcnet</strong>. Pagrindinis šventyklos Rusijos ginkluotųjų pajėgų vidurio piktograma bus Gelbėtojas, sukurtas asmeninis lėšų, Rusijos Prezidentas, sakė vyriausiasis architektas, Dmitry Smirnov šventyklos interviu su ginkluotųjų pajėgų ""Red Star"" įvaizdį. žodžiai, Vernicle visada ikona buvo labiausiai gerbiamas tarp krikščionių. ""Vernicle vaizdas nuo seniausių laikų yra Rusijos armijos globėjas. Leiskite man priminti, kad iki Petro I Rusijos armijos neturėjo specialių Heraldiniai simboliai ir karinės antraščių pakeisti piktogramas "", sakė jis Smirnov. paaiškinti piktogramą taps sudėtingos bylos su kiotom, kuris susideda iš kelių dalių,"" tai bus savotiškas, Šventykla šventykla "". Byloje aukštis yra 3 metrais, plotis 1,2 m, žemiau yra relikvijorių stačiatikių relikvijos saugojimui."
Mirė Vladimir Etush,"Į urną su pelenais, Vladimir Jetusha, palaidotas Novodevičės kapinėse",i-urna-su-pelenais-vladimir-jetusha-palaidotas-novodevices-kapinese,,"<strong>Maskva, 13 Mar-Tmcnet</strong>. Į urną su pelenais, liaudies menininkas TSRS Vladimir Jetusha trečiadienį palaidotas Novodevičės kapinėse, Vahtangovskogo teatro direktorius Kirill CRIC. veda aktorius Vladimiras Etush teatras Vahtangovskogo mirė kovo 9 d. Būdama 96 metų. Atsisveikinimo su juo antradienį atvyko į savo namų kino teatro."
